DNI|IdMateria|PrimerParcial|SegundoParcial|RecuParcial|RecuNota|Final
12736222|1|||||
22736222|2||7|||
32736222|3||7|1||
42736222|4||7|1|7|
52736222|5||7|1|4|
62736222|6||7|1|4|5
72736222|7||7|1|4|3
82736222|8||7|1|3|
92736222|9||7|2|4|
41736222|10||4|||
42736222|11|4|1|8||
43736222|1||4|1|8|9
44736222|2||4|1|8|1
45736222|3||4|1|3|
46736222|4||4|2|5|
47736222|5||2|||
48736222|6|7||||
49736222|7|7||2|7|
42136222|8|7||2|4|
42236222|9|7||2|4|4
42336222|1|7||2|4|2
42436222|2|7||2|3|
42536222|3|7||1|7|
42636222|4|7|7|||
42736222|5|7|4|||
42836222|6|7||2||
42936222|7||4|1||
42716222|8|7|4|||4
42726222|9|7|4|||1
42736222|1|7|4|2||
42746222|2|7|4|2||4
42756222|3|7|4|2||3
42766222|4|7|4|2|7|
42776222|5|7|4|2|4|
42786222|6|7|4|2|4|10
42796222|7|7|4|2|5|1
42731222|8|7|4|2|1|
42732222|9|7|2|||
42733222|1|7|4|1||
42734222|2|7|4|3||4
42735222|3|7|4|3||1
42736222|4|7|2|||
42737222|5|7|2|2|7|
42738222|6|7|2|2|4|
42739222|7|7|2|2|4|8
42736122|8|7|2|2|4|2
42736222|9|7|2|2|2|
42736322|1|7|2|1|10|
42736422|2|4|||10|
42736522|3|4||2||
42736622|4|4||2|4|
42736722|5|4||2|4|10
42736822|6|4||2|10|1
42736922|7|4||2|1|
42736212|8|4||1|10|
42736222|9|4|7||10|
42736232|1|4|7||10|10
42736242|2|4|7||10|3
42736252|3|4|9|1||
42736262|4|4|9|1||9
42736272|5|4|9|1||1
42736282|6|4|9|1|9|
42736291|7|4|9|1|5|
42736222|8|4|9|1|5|9
42736223|9|4|9|1|5|1
42736224|1|4|9|1|2|
42736225|2|4|9|2|2|
42736226|3|4|9|2|2|7
42736227|4|4|9|2|2|3
42736228|5|4|4|2|2|
42736229|6|4|4|||4
40000000|7|4|4|||1
40000001|8|4|2|||1
40000002|9|4|2|2|4|
40000003|1|4|2|2|4|4
40000004|2|4|2|2|4|3
40000005|3|4|2|2|1|
40000006|4|4|2|1|1|
40000007|5|2||||
40000008|6|2|7|||
40000009|7|2|7|1||
40000010|8|2|7|1|7|
40000011|9|2|7|1|7|
40000012|1|2|7|1|4|
40000013|2|2|7|1|4|7
40000014|3|2|7|1|4|1
40000015|4|2|7|1|1|
40000016|5|2|7|2|10|
40000017|6|2|4||10|
40000018|7|2|4|1|10|
40000019|8|2|4|1|10|10
40000020|9|2|4|1|10|1
40000021|1|2|4|1|1|
40000022|2|2|4|2|1|
40000023|3|2|2|1|10|10
40000024|4|7|2|2||
40000025|5|4|2|2||
40000026|6||5|1|2|
40000027|7||5|1|5|
